Total codepoints: 1114112
Divergent codepoints: 85119
Divergent ranges: 2487

By class pair:

  elixir=error:0 js=identifier:1 -> 82934 codepoints
  elixir=error:0 js=error:1 -> 1190 codepoints
  elixir=error:0 js=atom:1 -> 991 codepoints
  elixir=error:1 js=error:0 -> 3 codepoints
  elixir=identifier:1 js=error:0 -> 1 codepoints

Ranges:

1223-1223        | elixir=error:0 | js=atom:1 (Ӈ)
1224-1224        | elixir=error:0 | js=identifier:1 (ӈ)
1225-1225        | elixir=error:0 | js=atom:1 (Ӊ)
1226-1226        | elixir=error:0 | js=identifier:1 (ӊ)
1227-1227        | elixir=error:0 | js=atom:1 (Ӌ)
1228-1228        | elixir=error:0 | js=identifier:1 (ӌ)
1229-1229        | elixir=error:0 | js=atom:1 (Ӎ)
1230-1230        | elixir=error:0 | js=identifier:1 (ӎ)
1242-1242        | elixir=error:0 | js=atom:1 (Ӛ)
1243-1243        | elixir=error:0 | js=identifier:1 (ӛ)
1258-1258        | elixir=error:0 | js=atom:1 (Ӫ)
1259-1259        | elixir=error:0 | js=identifier:1 (ӫ)
1260-1260        | elixir=error:0 | js=atom:1 (Ӭ)
1261-1261        | elixir=error:0 | js=identifier:1 (ӭ)
1270-1270        | elixir=error:0 | js=atom:1 (Ӷ)
1271-1271        | elixir=error:0 | js=identifier:1 (ӷ)
1274-1274        | elixir=error:0 | js=atom:1 (Ӻ)
1275-1275        | elixir=error:0 | js=identifier:1 (ӻ)
1276-1276        | elixir=error:0 | js=atom:1 (Ӽ)
1277-1277        | elixir=error:0 | js=identifier:1 (ӽ)
1278-1278        | elixir=error:0 | js=atom:1 (Ӿ)
1279-1279        | elixir=error:0 | js=identifier:1 (ӿ)
1280-1280        | elixir=error:0 | js=atom:1 (Ԁ)
1281-1281        | elixir=error:0 | js=identifier:1 (ԁ)
1282-1282        | elixir=error:0 | js=atom:1 (Ԃ)
1283-1283        | elixir=error:0 | js=identifier:1 (ԃ)
1284-1284        | elixir=error:0 | js=atom:1 (Ԅ)
1285-1285        | elixir=error:0 | js=identifier:1 (ԅ)
1286-1286        | elixir=error:0 | js=atom:1 (Ԇ)
1287-1287        | elixir=error:0 | js=identifier:1 (ԇ)
1288-1288        | elixir=error:0 | js=atom:1 (Ԉ)
1289-1289        | elixir=error:0 | js=identifier:1 (ԉ)
1290-1290        | elixir=error:0 | js=atom:1 (Ԋ)
1291-1291        | elixir=error:0 | js=identifier:1 (ԋ)
1292-1292        | elixir=error:0 | js=atom:1 (Ԍ)
1293-1293        | elixir=error:0 | js=identifier:1 (ԍ)
1294-1294        | elixir=error:0 | js=atom:1 (Ԏ)
1295-1295        | elixir=error:0 | js=identifier:1 (ԏ)
1296-1296        | elixir=error:0 | js=atom:1 (Ԑ)
1297-1297        | elixir=error:0 | js=identifier:1 (ԑ)
