# NOTE: Due to Unicode character width variations, the formatting will appear
# broken in text editors. For proper viewing, use: cat mappings_comparison.txt
================================================================================

Total codepoints: 1114112
Inconsistencies found: 2210

Inconsistencies:

Codepoint | Char    | Elixir Result | JavaScript Result
55535     | invalid | -             | 55535
55536     | invalid | -             | 55536
55537     | invalid | -             | 55537
55538     | invalid | -             | 55538
55539     | invalid | -             | 55539
55540     | invalid | -             | 55540
55541     | invalid | -             | 55541
55542     | invalid | -             | 55542
55543     | invalid | -             | 55543
55544     | invalid | -             | 55544
55545     | invalid | -             | 55545
55546     | invalid | -             | 55546
55547     | invalid | -             | 55547
55548     | invalid | -             | 55548
55549     | invalid | -             | 55549
55550     | invalid | -             | 55550
55551     | invalid | -             | 55551
55552     | invalid | -             | 55552
55553     | invalid | -             | 55553
55554     | invalid | -             | 55554
55555     | invalid | -             | 55555
55556     | invalid | -             | 55556
55557     | invalid | -             | 55557
55558     | invalid | -             | 55558
55559     | invalid | -             | 55559
55560     | invalid | -             | 55560
55561     | invalid | -             | 55561
55562     | invalid | -             | 55562
55563     | invalid | -             | 55563
55564     | invalid | -             | 55564
55565     | invalid | -             | 55565
55566     | invalid | -             | 55566
55567     | invalid | -             | 55567
55568     | invalid | -             | 55568
55569     | invalid | -             | 55569
55570     | invalid | -             | 55570
55571     | invalid | -             | 55571
55572     | invalid | -             | 55572
55573     | invalid | -             | 55573
55574     | invalid | -             | 55574
55575     | invalid | -             | 55575
55576     | invalid | -             | 55576
55577     | invalid | -             | 55577
55578     | invalid | -             | 55578
55579     | invalid | -             | 55579
55580     | invalid | -             | 55580
55581     | invalid | -             | 55581
55582     | invalid | -             | 55582
55583     | invalid | -             | 55583
55584     | invalid | -             | 55584
55585     | invalid | -             | 55585
55586     | invalid | -             | 55586
55587     | invalid | -             | 55587
55588     | invalid | -             | 55588
55589     | invalid | -             | 55589
55590     | invalid | -             | 55590
55591     | invalid | -             | 55591
55592     | invalid | -             | 55592
55593     | invalid | -             | 55593
55594     | invalid | -             | 55594
55595     | invalid | -             | 55595
55596     | invalid | -             | 55596
55597     | invalid | -             | 55597
55598     | invalid | -             | 55598
55599     | invalid | -             | 55599
55600     | invalid | -             | 55600
55601     | invalid | -             | 55601
55602     | invalid | -             | 55602
55603     | invalid | -             | 55603
55604     | invalid | -             | 55604
55605     | invalid | -             | 55605
55606     | invalid | -             | 55606
55607     | invalid | -             | 55607
55608     | invalid | -             | 55608
55609     | invalid | -             | 55609
55610     | invalid | -             | 55610
55611     | invalid | -             | 55611
55612     | invalid | -             | 55612
55613     | invalid | -             | 55613
55614     | invalid | -             | 55614
55615     | invalid | -             | 55615
55616     | invalid | -             | 55616
55617     | invalid | -             | 55617
55618     | invalid | -             | 55618
55619     | invalid | -             | 55619
55620     | invalid | -             | 55620
55621     | invalid | -             | 55621
55622     | invalid | -             | 55622
55623     | invalid | -             | 55623
55624     | invalid | -             | 55624
55625     | invalid | -             | 55625
55626     | invalid | -             | 55626
55627     | invalid | -             | 55627
55628     | invalid | -             | 55628
55629     | invalid | -             | 55629
55630     | invalid | -             | 55630
55631     | invalid | -             | 55631
55632     | invalid | -             | 55632
55633     | invalid | -             | 55633
55634     | invalid | -             | 55634
55635     | invalid | -             | 55635
55636     | invalid | -             | 55636
55637     | invalid | -             | 55637
55638     | invalid | -             | 55638
55639     | invalid | -             | 55639
55640     | invalid | -             | 55640
55641     | invalid | -             | 55641
55642     | invalid | -             | 55642
55643     | invalid | -             | 55643
55644     | invalid | -             | 55644
55645     | invalid | -             | 55645
55646     | invalid | -             | 55646
55647     | invalid | -             | 55647
55648     | invalid | -             | 55648
55649     | invalid | -             | 55649
55650     | invalid | -             | 55650
55651     | invalid | -             | 55651
55652     | invalid | -             | 55652
55653     | invalid | -             | 55653
55654     | invalid | -             | 55654
55655     | invalid | -             | 55655
55656     | invalid | -             | 55656
55657     | invalid | -             | 55657
55658     | invalid | -             | 55658
55659     | invalid | -             | 55659
55660     | invalid | -             | 55660
55661     | invalid | -             | 55661
